"El futuro de la IA: una visión general", 15 de mayo de 2023, Inteligencia Artificial, 500, 50, 450
"Ciberseguridad en la era digital", 1 de junio de 2023, Ciberseguridad, 300, 30, 270
"Big Data y su impacto en la toma de decisiones", 15 de julio de 2023, Big Data, 400, 40, 360
"Introducción a la IA", 1 de agosto de 2023, Inteligencia Artificial, 250, 25, 225
"Seguridad informática en el hogar", 15 de septiembre de 2023, Ciberseguridad, 200, 20, 180
"Importancia del análisis de datos en la investigación científica", 1 de octubre de 2023, Big Data, 350, 35, 315 
"La ética en la IA", 15 de noviembre de 2023, Inteligencia Artificial, 150, 15, 135
"Protección de datos en la era digital", 1 de diciembre de 2023, Ciberseguridad, 280, 28, 252
"Big Data y el marketing digital", 15 de enero de 2024, Big Data, 400, 40, 360
"IA y robótica: tendencias y oportunidades", 1 de febrero de 2024, Inteligencia Artificial, 300, 30, 270
"Ciberseguridad en dispositivos móviles", 20 de octubre de 2023, Ciberseguridad, 100, 25, 75
